order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
2042abeefae68e63a8aa30edd4b0eb48,a37a37235d7b3be3e2f95747ca589bda,delivered,2018-05-26 23:52:00,2018/5/27 23:49,2018/5/28 14:09,2018/5/30 15:48,2018/6/20 0:00
9e6bc602a2466daa94736f31d1319c5d,8338cddb98bbda6167cbec66540a8942,delivered,2018-05-26 17:57:00,2018/5/26 18:17,2018/5/30 13:12,2018/6/4 22:35,2018/6/29 0:00
b9499283a775ccfa9da92e6e75e9b4b9,d66a67d5008715c5d0fc4c106d596974,delivered,2018-05-26 21:46:00,2018/5/26 22:17,2018/6/6 12:57,2018/6/21 14:28,2018/7/16 0:00
d5feaf42ebb0105f527be0c6dd622b80,d399cd64e15fc776a47839d972c5bb2c,delivered,2018-05-26 16:01:00,2018/5/26 16:18,2018/5/28 14:04,2018/6/6 23:18,2018/6/29 0:00
6c15ee8450a1710e7495723be99f4030,356ead8c97942c8e553f692a81e50ccd,delivered,2018-05-26 00:14:00,2018/5/26 0:31,2018/5/26 8:16,2018/6/14 22:44,2018/7/5 0:00
9eb401aae2d502a73f4a27f97d3bebf5,f13bb2fb4cdf0a6655b9aaf846a73f13,delivered,2018-05-26 21:08:00,2018/5/26 21:37,2018/5/29 13:38,2018/6/13 18:36,2018/7/16 0:00
c0e57db4a4a6ef32aa28911d1c07df81,9630893f817054e899ceb1c9a539817a,delivered,2018-05-26 18:41:00,2018/5/26 18:57,2018/5/28 14:02,2018/6/7 15:05,2018/6/29 0:00
cfb94976becda338ad4171c3c072561c,5f3e95d3aa812f28f4d065e24aae40ce,delivered,2018-05-26 21:35:00,2018/5/26 21:50,2018/5/28 13:05,2018/6/8 23:22,2018/6/28 0:00
88a78af246c6c2db88e72b384796c98c,5f927d5f455d787c64e69dbe0382c5fa,delivered,2018-05-26 18:18:00,2018/5/26 18:30,2018/5/28 13:22,2018/5/29 17:28,2018/6/20 0:00
d48c5a8ece8e3482630f42983dce073a,ab7d332dd43e59effe9d3880a1952cc0,delivered,2018-05-26 09:47:00,2018/5/26 10:19,2018/5/29 12:18,2018/6/21 21:39,2018/7/11 0:00
0c67c33a0a66f1eb55919fb2e68a7a51,ab4d1e8f94270a845f887b71343b4814,delivered,2018-05-26 13:53:00,2018/5/26 14:18,2018/5/28 11:35,2018/6/5 16:08,2018/6/28 0:00
5f42573c60286a6f9d6a3809352c86e0,4b17aa73ba6fa555940aab81c6dbe893,delivered,2018-05-26 19:36:00,2018/5/26 19:49,2018/5/28 13:45,2018/6/1 13:32,2018/7/18 0:00
